GUID,ENUM,STRING
21686148-6449-6E6F-744E-656564454649,GPT_TYPE_BIOS_BOOT,BIOS Boot Partition

C12A7328-F81F-11D2-BA4B-00A0C93EC93B,GPT_TYPE_EFI_SYSTEM_PARTITION,EFI System Partition
E3C9E316-0B5C-4DB8-817D-F92DF00215AE,GPT_TYPE_MICROSOFT_RESERVED,Microsoft Reserved Partition
EBD0A0A2-B9E5-4433-87C0-68B6B72699C7,GPT_TYPE_MICROSOFT_BASIC_DATA,Microsoft Basic Data
DE94BBA4-06D1-4D40-A16A-BFD50179D6AC,GPT_TYPE_MICROSOFT_WINRE,Microsoft Windows Recovery (WinRE)
E75CAF8F-F680-4CEE-AFA3-B001E56EFC2D,GPT_TYPE_MICROSOFT_STORAGE_SPACES,Microsoft Storage Spaces

0FC63DAF-8483-4772-8E79-3D69D8477DE4,GPT_TYPE_LINUX_FILESYSTEM,Linux Filesystem Data
0657FD6D-A4AB-43C4-84E5-0933C84B4F4F,GPT_TYPE_LINUX_SWAP,Linux Swap
E6D6D379-F507-44C2-A23C-238F2A3DF928,GPT_TYPE_LINUX_LVM,Linux LVM
A19D880F-05FC-4D3B-A006-743F0F84911E,GPT_TYPE_LINUX_RAID,Linux Raid
4F68BCE3-E8CD-4DB1-96E7-FBCAF984B709,GPT_TYPE_LINUX_ROOT_X86_64,Linux Root (x86_64)
8484680C-9521-48C6-9C11-B0720656F69E,GPT_TYPE_LINUX_USR_X86_64,Linux /usr (x86_64)
933AC7E1-2EB4-4F13-B844-0E14E2AEF915,GPT_TYPE_LINUX_HOME,Linux /home
3B8F8425-20E0-4F3B-907F-1A25A76F98E8,GPT_TYPE_LINUX_SRV,Linux /srv
4D21B016-B534-45C2-A9FB-5C16E091FD2D,GPT_TYPE_LINUX_VAR,Linux /var
BC13C2FF-59E6-4262-A352-B275FD6F7172,GPT_TYPE_LINUX_BOOT,Linux /boot
8DA63339-0007-60C0-C436-083AC8230908,GPT_TYPE_LINUX_RESERVED,Linux Reserved
CA7D7CCB-63ED-4C53-861C-1742536059CC,GPT_TYPE_LINUX_ENCRYPTED,Linux LUKS (Encrypted)
7FFEC5C9-2D00-49B7-8941-3EA10A5586B7,GPT_TYPE_LINUX_DM_CRYPT,Linux dm-crypt

